parent,child,true_overlap,label,parent_true_start,child_true_start,parent_true_m,child_true_m,mass,max_cell,peak_frac,n_dist,dist_entropy,mass_per_child_batch,mass_over_min_read_mass,mass_over_min_miss_mass,mass_over_evict_writes,max_cell_over_min_miss,alpha_mean,alpha_sd,alpha_min,gap,exp_mass,excess_mass,poisson_z_total,poisson_z_max_cell,obs_over_exp
6,7,23,1,2904,2951,70,94,62.0,19.0,0.30645,17.0,3.50532,12.4,0.12109,0.38994,0.02549,0.1195,39.77419,4.90694,28.0,42.0,18.01235,43.98765,10.36444,18.06193,3.44208
5,7,0,0,2841,2951,95,94,3.0,2.0,0.66667,2.0,0.9183,0.6,0.00586,0.01829,0.00123,0.0122,73.33333,0.94281,72.0,87.0,1.01235,1.98765,1.9755,1.51732,2.96341
7,8,32,1,2951,3013,94,112,79.0,35.0,0.44304,22.0,3.27341,15.8,0.12344,0.39109,0.03086,0.17327,38.82278,4.92413,27.0,41.0,26.4321,52.5679,10.2248,32.41726,2.98879
6,8,0,0,2904,3013,70,112,7.0,4.0,0.57143,3.0,1.37878,1.4,0.01367,0.04403,0.00288,0.02516,73.42857,0.72843,72.0,87.0,3.77778,3.22222,1.65782,1.22179,1.85294
8,9,55,1,3013,3070,112,68,82.0,45.0,0.54878,19.0,2.77953,20.5,0.16016,0.50932,0.03203,0.2795,38.2561,4.50423,28.0,41.0,15.62963,66.37037,16.78804,48.94938,5.24645
7,9,0,0,2951,3070,94,68,3.0,1.0,0.33333,3.0,1.58496,0.75,0.00586,0.01863,0.00117,0.00621,73,0.8165,72.0,86.0,1.33333,1.66667,1.44338,1.03459,2.25
9,10,40,1,3070,3098,68,114,81.0,34.0,0.41975,18.0,3.2692,16.2,0.1582,0.50311,0.03331,0.21118,38.71605,4.60068,29.0,42.0,21.55556,59.44444,12.80359,36.00682,3.75773
8,10,27,1,3013,3098,112,114,2.0,1.0,0.5,2.0,1.0,0.4,0.00313,0.00913,0.00078,0.00457,72.5,1.5,71.0,86.0,0.98765,1.01235,1.01865,1.1547,2.025
9,11,0,0,3070,3157,68,113,4.0,3.0,0.75,2.0,0.81128,0.8,0.00781,0.02484,0.00164,0.01863,73.75,0.43301,73.0,87.0,2.1358,1.8642,1.27559,1.24399,1.87283
10,11,55,1,3098,3157,114,113,99.0,48.0,0.48485,20.0,3.02954,19.8,0.15469,0.47596,0.03867,0.23077,38.92929,4.19777,26.0,41.0,24.93827,74.06173,14.83067,48.91678,3.9698
11,12,46,1,3157,3203,113,46,55.0,24.0,0.43636,11.0,2.13631,18.33333,0.14323,0.47826,0.02148,0.2087,39.38182,3.006,26.0,41.0,8.60494,46.39506,15.81604,26.33423,6.39168
10,12,9,1,3098,3203,114,46,4.0,3.0,0.75,2.0,0.81128,1.33333,0.01042,0.03478,0.00156,0.02609,72.5,0.86603,72.0,86.0,1.07407,2.92593,2.82323,4.41542,3.72414
12,13,22,1,3203,3227,46,45,37.0,22.0,0.59459,11.0,2.23358,12.33333,0.09635,0.33636,0.01606,0.2,39.21622,3.48848,30.0,43.0,7.01235,29.98765,11.32429,29.83198,5.27641
11,13,43,1,3157,3227,113,45,3.0,1.0,0.33333,3.0,1.58496,1.0,0.00781,0.02727,0.00117,0.00909,73,0.8165,72.0,86.0,1.38272,1.61728,1.37537,1.29279,2.16964
16,17,58,1,3319,3374,113,144,128.0,48.0,0.375,22.0,3.50637,18.28571,0.2,0.58716,0.05,0.22018,39.28906,4.90082,28.0,41.0,38.74074,89.25926,14.34067,47.10581,3.30402
17,18,53,1,3374,3449,144,53,70.0,46.0,0.65714,12.0,2.03716,23.33333,0.18229,0.61404,0.02486,0.40351,38.57143,4.25801,26.0,39.0,7.76543,62.23457,22.33309,52.58651,9.01431
16,18,0,0,3319,3449,113,53,1.0,1.0,1.0,1.0,-0.0,0.33333,0.0026,0.00877,0.00039,0.00877,73,0.0,73.0,86.0,0.46914,0.53086,0.77506,0.77506,2.13158
18,19,19,1,3449,3483,53,121,56.0,21.0,0.375,16.0,3.27613,11.2,0.14583,0.49123,0.02431,0.18421,39.82143,4.20929,30.0,43.0,18.82716,37.17284,8.56709,21.31385,2.97443
17,19,35,1,3374,3483,144,121,9.0,3.0,0.33333,6.0,2.41938,1.8,0.01406,0.04306,0.0032,0.01435,72.11111,1.66296,69.0,84.0,4.30864,4.69136,2.2601,1.34376,2.08883
19,20,52,1,3483,3547,121,52,74.0,51.0,0.68919,14.0,1.98238,24.66667,0.19271,0.60163,0.02891,0.41463,39.39189,2.85609,29.0,41.0,13.48148,60.51852,16.48236,54.06677,5.48901
18,20,0,0,3449,3547,53,52,1.0,1.0,1.0,1.0,-0.0,0.33333,0.0026,0.00877,0.00043,0.00877,74,0.0,74.0,88.0,0.82716,0.17284,0.19004,0.19004,1.20896
20,21,25,1,3547,3574,52,48,44.0,23.0,0.52273,14.0,2.69689,14.66667,0.11458,0.3964,0.0191,0.20721,39.97727,3.34045,29.0,43.0,9.66667,34.33333,11.04276,24.67017,4.55172
19,21,30,1,3483,3574,121,48,1.0,1.0,1.0,1.0,-0.0,0.33333,0.0026,0.00901,0.00039,0.00901,74,0.0,74.0,86.0,0.2963,0.7037,1.29279,1.29279,3.375
21,22,18,1,3574,3604,48,119,59.0,19.0,0.32203,19.0,3.64544,9.83333,0.15365,0.53153,0.02561,0.17117,38.35593,4.73631,29.0,43.0,20.41975,38.58025,8.53768,19.42647,2.88936
22,23,55,1,3604,3668,119,127,94.0,50.0,0.53191,20.0,2.88133,18.8,0.14688,0.43318,0.03497,0.23041,39.04255,4.93988,26.0,40.0,22.85185,71.14815,14.88343,51.77996,4.11345
